Date,PM2.5,PM10
05/28/14,29.875,35.25
05/28/15,13.75,25.375
05/28/20,13.808333333333332,28.375
05/29/14,22.0,27.428571428571427
05/29/15,21.533333333333335,34.75
05/29/17,15.90625,27.0
05/29/18,13.65,34.0
05/29/20,9.033333333333333,20.666666666666668
05/29/23,4.4625,8.75
05/30/14,28.0,41.0
05/30/17,17.1875,36.0
05/30/18,6.2700000000000005,12.0
05/30/23,6.9375,12.0
05/31/17,14.89375,34.375
05/31/18,7.54375,17.125
05/31/23,4.4,10.133333333333333
05/31/24,16.700000000000003,27.0
06/01/15,24.0625,35.0
06/01/17,11.80625,28.285714285714285
06/01/18,11.85625,32.25
06/01/20,10.125,22.5
